image_id,image_path,true_label,teacher_prob,teacher_pred,student_prob,student_pred,prob_diff,abs_prob_diff,models_agree,teacher_correct,student_correct
ISIC_0029176,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0029176.jpg,0,0.07670734,0,0.021043928,0,0.055663414,0.055663414,True,True,True
ISIC_0029068,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0029068.jpg,0,0.2552583,0,0.0052206703,0,0.2500376,0.2500376,True,True,True
ISIC_0031326,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0031326.jpg,0,0.35253677,0,0.09299997,0,0.2595368,0.2595368,True,True,True
ISIC_0024981,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0024981.jpg,0,0.5323595,1,0.3639723,0,0.16838717,0.16838717,False,False,True
ISIC_0027815,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0027815.jpg,0,0.27567926,0,0.0039205514,0,0.2717587,0.2717587,True,True,True
ISIC_0024324,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0024324.jpg,0,0.41648766,0,0.013147286,0,0.40334037,0.40334037,True,True,True
ISIC_0029559,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0029559.jpg,0,0.46576974,0,0.020757817,0,0.4450119,0.4450119,True,True,True
ISIC_0024832,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0024832.jpg,0,0.4040579,0,0.09576306,0,0.30829483,0.30829483,True,True,True
ISIC_0026958,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0026958.jpg,0,0.39950547,0,0.098896116,0,0.30060935,0.30060935,True,True,True
ISIC_0031624,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0031624.jpg,0,0.07624412,0,0.011467678,0,0.06477644,0.06477644,True,True,True
ISIC_0025510,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0025510.jpg,0,0.13630393,0,0.11188226,0,0.02442167,0.02442167,True,True,True
ISIC_0029308,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0029308.jpg,0,0.27820858,0,0.1710455,0,0.10716309,0.10716309,True,True,True
ISIC_0027957,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0027957.jpg,0,0.5195035,1,0.7020819,1,-0.18257844,0.18257844,True,False,False
ISIC_0031212,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0031212.jpg,0,0.5444537,1,0.55378586,1,-0.00933218,0.00933218,True,False,False
ISIC_0032382,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0032382.jpg,0,0.438361,0,0.38052985,0,0.05783114,0.05783114,True,True,True
ISIC_0027533,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0027533.jpg,0,0.124740556,0,0.22794054,0,-0.10319999,0.10319999,True,True,True
ISIC_0033041,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033041.jpg,0,0.4204189,0,0.1908972,0,0.22952169,0.22952169,True,True,True
ISIC_0033900,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033900.jpg,0,0.45302296,0,0.059264697,0,0.39375827,0.39375827,True,True,True
ISIC_0033361,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033361.jpg,0,0.67218566,1,0.8468145,1,-0.17462885,0.17462885,True,False,False
ISIC_0032514,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0032514.jpg,0,0.5580311,1,0.64972603,1,-0.09169495,0.09169495,True,False,False
ISIC_0033691,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033691.jpg,0,0.41603497,0,0.07785198,0,0.338183,0.338183,True,True,True
ISIC_0033910,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033910.jpg,0,0.34027603,0,0.0819574,0,0.25831863,0.25831863,True,True,True
ISIC_0032556,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0032556.jpg,0,0.48530114,0,0.38200778,0,0.10329336,0.10329336,True,True,True
ISIC_0032978,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0032978.jpg,0,0.7828038,1,0.96382105,1,-0.18101728,0.18101728,True,False,False
ISIC_0033973,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033973.jpg,0,0.24126637,0,0.2637265,0,-0.022460133,0.022460133,True,True,True
ISIC_0033761,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033761.jpg,0,0.2929093,0,0.19486506,0,0.09804423,0.09804423,True,True,True
ISIC_0033505,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033505.jpg,0,0.2608785,0,0.10387022,0,0.15700829,0.15700829,True,True,True
ISIC_0033400,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033400.jpg,0,0.14092386,0,0.0061398526,0,0.134784,0.134784,True,True,True
ISIC_0033677,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033677.jpg,0,0.20937154,0,0.023760322,0,0.18561122,0.18561122,True,True,True
ISIC_0033262,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033262.jpg,0,0.23378204,0,0.04432674,0,0.1894553,0.1894553,True,True,True
ISIC_0033853,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033853.jpg,0,0.33324373,0,0.19782181,0,0.13542192,0.13542192,True,True,True
ISIC_0033453,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033453.jpg,0,0.4089413,0,0.042192433,0,0.36674887,0.36674887,True,True,True
ISIC_0034126,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0034126.jpg,0,0.48523057,0,0.14702597,0,0.3382046,0.3382046,True,True,True
ISIC_0032654,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0032654.jpg,0,0.526892,1,0.19953255,0,0.32735944,0.32735944,False,False,True
ISIC_0032576,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0032576.jpg,0,0.47863716,0,0.49813718,0,-0.019500017,0.019500017,True,True,True
ISIC_0033397,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033397.jpg,0,0.39883387,0,0.038943827,0,0.35989004,0.35989004,True,True,True
ISIC_0033414,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033414.jpg,0,0.49982506,0,0.5304782,1,-0.03065312,0.03065312,False,True,False
ISIC_0034113,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0034113.jpg,0,0.42602813,0,0.10784778,0,0.31818035,0.31818035,True,True,True
ISIC_0033635,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033635.jpg,0,0.26828593,0,0.18660188,0,0.08168405,0.08168405,True,True,True
ISIC_0033868,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0033868.jpg,0,0.0909162,0,0.041424617,0,0.049491584,0.049491584,True,True,True
ISIC_0029600,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0029600.jpg,0,0.41171503,0,0.011577974,0,0.40013707,0.40013707,True,True,True
ISIC_0031376,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0031376.jpg,0,0.24520569,0,0.7882454,1,-0.5430397,0.5430397,False,True,False
ISIC_0028336,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0028336.jpg,0,0.07264747,0,0.022549061,0,0.050098404,0.050098404,True,True,True
ISIC_0025838,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0025838.jpg,0,0.50355923,1,0.7186214,1,-0.21506214,0.21506214,True,False,False
ISIC_0027037,/Users/ryan.healy/DS_MSDS/Deep_Learning_Final_Project/data/raw/ham_1000_archive/images/ISIC_0027037.jpg,0,0.6764741,1,0.1902795,0,0.4861946,0.4861946,False,False,True
